Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Howard the Duck	action, adventure, comedy, romance, sci_fi	1986	Willard Huyck	4.3	110	http://www.imdb.com/title/tt0091225/
Maximum Overdrive	action, horror, sci_fi	1986	Stephen King	5.1	97	http://www.imdb.com/title/tt0091499/
Solarbabies	action, drama, sci_fi	1986	Alan Johnson	4.4	94	http://www.imdb.com/title/tt0091981/
SpaceCamp	adventure, family, sci_fi	1986	Harry Winer	5.4	107	http://www.imdb.com/title/tt0091993/
The Transformers: The Movie	animation, action, adventure, family, sci_fi	1986	Nelson Shin	7.1	84	http://www.imdb.com/title/tt0092106/
*batteries not included	family, fantasy, sci_fi, comedy	1987	Matthew Robbins	6.3	106	http://www.imdb.com/title/tt0092494/
The Hidden	action, crime, horror, sci_fi	1987	Jack Sholder	6.9	96	http://www.imdb.com/title/tt0093185/
Masters of the Universe	action, adventure, fantasy, sci_fi, thriller	1987	Gary Goddard	5.1	106	http://www.imdb.com/title/tt0093507/
The Monster Squad	action, comedy, fantasy, horror, sci_fi	1987	Fred Dekker	7	82	http://www.imdb.com/title/tt0093560/
Project X	comedy, drama, sci_fi, thriller	1987	Jonathan Kaplan	5.9	108	http://www.imdb.com/title/tt0093793/
Alien Nation	crime, drama, sci_fi, thriller	1988	Graham Baker	6.1	91	http://www.imdb.com/title/tt0094631/
The Blob	horror, sci_fi	1988	Chuck Russell	6.1	95	http://www.imdb.com/title/tt0094761/
Mac and Me	adventure, family, fantasy, sci_fi	1988	Stewart Raffill	3.2	95	http://www.imdb.com/title/tt0095560/
My Stepmother Is an Alien	comedy, sci_fi	1988	Richard Benjamin	5	105	http://www.imdb.com/title/tt0095687/
Leviathan	adventure, horror, mystery, sci_fi, thriller	1989	George P. Cosmatos	5.6	98	http://www.imdb.com/title/tt0097737/
RoboCop 2	action, crime, drama, sci_fi, thriller	1990	Irvin Kershner	5.6	117	http://www.imdb.com/title/tt0100502/
Bill & Ted's Bogus Journey	adventure, comedy, fantasy, sci_fi	1991	Pete Hewitt	6	93	http://www.imdb.com/title/tt0101452/
Suburban Commando	action, comedy, family, sci_fi	1991	Burt Kennedy	3.9	90	http://www.imdb.com/title/tt0103003/
Forever Young	drama, romance, sci_fi	1992	Steve Miner	6.1	102	http://www.imdb.com/title/tt0104291/
Freejack	action, sci_fi, thriller	1992	Geoff Murphy	5.1	110	http://www.imdb.com/title/tt0104299/
Honey I Blew Up the Kid	adventure, comedy, family, sci_fi	1992	Randal Kleiser	4.5	89	http://www.imdb.com/title/tt0104437/
Split Second	action, crime, horror, sci_fi, thriller	1992	Tony Maylam	5.9	90	http://www.imdb.com/title/tt0105459/
Batman: Mask of the Phantasm	animation, action, crime, family, mystery, romance, sci_fi, thriller	1993	Eric Radomski, Bruce W. Timm	7.6	76	http://www.imdb.com/title/tt0106364/
RoboCop 3	action, crime, drama, sci_fi, thriller	1993	Fred Dekker	3.7	104	http://www.imdb.com/title/tt0107978/
Teenage Mutant Ninja Turtles III	action, adventure, comedy, family, fantasy, sci_fi	1993	Stuart Gillard	4.6	96	http://www.imdb.com/title/tt0108308/
Frankenstein	drama, horror, romance, sci_fi	1994	Kenneth Branagh	6.3	123	http://www.imdb.com/title/tt0109836/
No Escape	action, drama, sci_fi, thriller	1994	Martin Campbell	5.9	118	http://www.imdb.com/title/tt0110678/
Street Fighter	action, sci_fi, thriller	1994	Steven E. de Souza	3.5	102	http://www.imdb.com/title/tt0111301/
Congo	action, adventure, mystery, sci_fi	1995	Frank Marshall	4.8	109	http://www.imdb.com/title/tt0112715/
Mighty Morphin Power Rangers: The Movie	action, adventure, family, sci_fi, thriller	1995	Bryan Spicer	4.4	95	http://www.imdb.com/title/tt0113820/
Powder	drama, fantasy, mystery, sci_fi, thriller	1995	Victor Salva	6.3	111	http://www.imdb.com/title/tt0114168/
Species	action, horror, sci_fi	1995	Roger Donaldson	5.7	108	http://www.imdb.com/title/tt0114508/
Strange Days	crime, drama, mystery, sci_fi, thriller	1995	Kathryn Bigelow	7.1	145	http://www.imdb.com/title/tt0114558/
Chain Reaction	action, drama, sci_fi, thriller	1996	Andrew Davis	5.4	107	http://www.imdb.com/title/tt0115857/
Eraser	action, crime, drama, mystery, sci_fi, thriller	1996	Charles Russell	5.9	115	http://www.imdb.com/title/tt0116213/
The Island of Dr. Moreau	action, horror, sci_fi, thriller	1996	John Frankenheimer	4.2	96	http://www.imdb.com/title/tt0116654/
Multiplicity	comedy, romance, sci_fi	1996	Harold Ramis	5.8	117	http://www.imdb.com/title/tt0117108/
The Nutty Professor	comedy, romance, sci_fi	1996	Tom Shadyac	5.5	95	http://www.imdb.com/title/tt0117218/
Phenomenon	drama, fantasy, romance, sci_fi	1996	Jon Turteltaub	6.3	123	http://www.imdb.com/title/tt0117333/
Flubber	comedy, family, sci_fi	1997	Les Mayfield	4.8	93	http://www.imdb.com/title/tt0119137/
Mimic	horror, sci_fi	1997	Guillermo del Toro	5.8	105	http://www.imdb.com/title/tt0119675/
The Postman	action, adventure, drama, sci_fi	1997	Kevin Costner	5.7	177	http://www.imdb.com/title/tt0119925/
RocketMan	comedy, family, romance, sci_fi	1997	Stuart Gillard	5.3	95	http://www.imdb.com/title/tt0120029/
Steel	action, crime, sci_fi	1997	Kenneth Johnson	2.7	97	http://www.imdb.com/title/tt0120207/
Turbo: A Power Rangers Movie	action, adventure, family, fantasy, sci_fi, thriller	1997	Shuki Levy, David Winning	2.8	99	http://www.imdb.com/title/tt0120389/
Volcano	action, drama, sci_fi, thriller	1997	Mick Jackson	5.3	104	http://www.imdb.com/title/tt0120461/
The Avengers	action, adventure, sci_fi, thriller	1998	Jeremiah Chechik	3.6	89	http://www.imdb.com/title/tt0118661/
Disturbing Behavior	horror, mystery, sci_fi, thriller	1998	David Nutter	5.3	84	http://www.imdb.com/title/tt0134619/
Lost in Space	action, adventure, sci_fi, thriller	1998	Stephen Hopkins	4.9	130	http://www.imdb.com/title/tt0120738/
Mighty Joe Young	action, adventure, family, fantasy, sci_fi, thriller	1998	Ron Underwood	5.4	114	http://www.imdb.com/title/tt0120751/
Phantoms	horror, sci_fi, thriller	1998	Joe Chappelle	5.2	96	http://www.imdb.com/title/tt0119891/
Small Soldiers	action, adventure, comedy, family, sci_fi	1998	Joe Dante	6	108	http://www.imdb.com/title/tt0122718/
