Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
Big Fan	2009	Robert D. Siegel	6.7	88	http://www.imdb.com/title/tt1228953/
Phantom Punch	2008	Robert Townsend	5.2		http://www.imdb.com/title/tt1131747/
The Best of Times	1986	Roger Spottiswoode	5.7	104	http://www.imdb.com/title/tt0090713/
Necessary Roughness	1991	Stan Dragoti	5.7	108	http://www.imdb.com/title/tt0102517/
The Scout	1994	Michael Ritchie	5.2	101	http://www.imdb.com/title/tt0111094/
Pride	2007	Sunu Gonera	5.1	104	http://www.imdb.com/title/tt0475355/
Her Best Move	2007	Norm Hunter	5.5	101	http://www.imdb.com/title/tt0469429/
The Cutting Edge 3: Chasing the Dream	2008	Stuart Gillard	6.1	90	http://www.imdb.com/title/tt1110626/
Life-Size	2000	Mark Rosman	5.3	89	http://www.imdb.com/title/tt0200809/
Hot Dog... The Movie	1984	Peter Markle	4.2	96	http://www.imdb.com/title/tt0087425/
North Shore	1987	William Phelps	5.9	96	http://www.imdb.com/title/tt0093648/
The Great White Hype	1996	Reginald Hudlin	5.3	91	http://www.imdb.com/title/tt0116448/
The Game of Their Lives	2005	David Anspaugh	6	101	http://www.imdb.com/title/tt0354595/
Futuresport	1998	Ernest Dickerson	4	91	http://www.imdb.com/title/tt0158409/
Fever Pitch	1997	David Evans	6.5	102	http://www.imdb.com/title/tt0119114/
Cornbread, Earl and Me	1975	Joseph Manduke	6.3	95	http://www.imdb.com/title/tt0072822/
Ice Castles	1978	Donald Wrye	6.1	108	http://www.imdb.com/title/tt0077716/
Six Pack	1982	Daniel Petrie	5.3	108	http://www.imdb.com/title/tt0084690/
Eddie	1996	Steve Rash	4.7	100	http://www.imdb.com/title/tt0116168/
Gutterballs	2008	Ryan Nicholson	4.7	96	http://www.imdb.com/title/tt1087853/
The Gymnast	2006	Ned Farr	6.5	96	http://www.imdb.com/title/tt0473074/
Bang the Drum Slowly	1973	John Hancock	6.8	96	http://www.imdb.com/title/tt0069765/
The Air Up There	1994	Paul M. Glaser	5.3	107	http://www.imdb.com/title/tt0109067/
Juwanna Mann	2002	Jesse Vaughan	4.2	91	http://www.imdb.com/title/tt0247444/
Crossover	2006	Preston A. Whitmore II	1.9	95	http://www.imdb.com/title/tt0473024/
Pumpkin	2002	Anthony Abrams, Adam Larson Broder	6.1	113	http://www.imdb.com/title/tt0265591/
The Broken Hearts Club: A Romantic Comedy	2000	Greg Berlanti	6.6	94	http://www.imdb.com/title/tt0222850/
Cobb	1994	Ron Shelton	6.3	128	http://www.imdb.com/title/tt0109450/
The Bingo Long Traveling All-Stars & Motor Kings	1976	John Badham	6.5	110	http://www.imdb.com/title/tt0074207/
Big Wednesday	1978	John Milius	6.9	120	http://www.imdb.com/title/tt0077235/
Diggstown	1992	Michael Ritchie	6.7	98	http://www.imdb.com/title/tt0104107/
Ed	1996	Bill Couturié	2.4	94	http://www.imdb.com/title/tt0116165/
London 2012 Olympic Opening Ceremony: Isles of Wonder	2012	Danny Boyle	7.6	352	http://www.imdb.com/title/tt2305700/
There's Only One Jimmy Grimble	2000	John Hay	6.5	106	http://www.imdb.com/title/tt0238660/
Prefontaine	1997	Steve James	6.4	106	http://www.imdb.com/title/tt0119937/
American Flyers	1985	John Badham	6	113	http://www.imdb.com/title/tt0088707/
Taking Care of Business	1990	Arthur Hiller	6.1	107	http://www.imdb.com/title/tt0103035/
The Final Season	2007	David Mickey Evans	6.5	119	http://www.imdb.com/title/tt0449018/
Blackball	2003	Mel Smith	5.3	96	http://www.imdb.com/title/tt0337879/
Men with Brooms	2002	Paul Gross	5.7	102	http://www.imdb.com/title/tt0263734/
Kickboxer 4: The Aggressor	1994	Albert Pyun	3.2	90	http://www.imdb.com/title/tt0110255/
Rebound: The Legend of Earl 'The Goat' Manigault	1996	Eriq La Salle	7.5	120	http://www.imdb.com/title/tt0117450/
The Blood of Heroes	1989	David Peoples	6.2	90	http://www.imdb.com/title/tt0094764/
Stealing Home	1988	Steven Kampmann, Will Aldis	6.5	98	http://www.imdb.com/title/tt0096171/
Celtic Pride	1996	Tom DeCerchio	4.9	91	http://www.imdb.com/title/tt0115851/
