Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Legends of the Fall	drama, romance, war, western	1994	Edward Zwick	7.3	133	http://www.imdb.com/title/tt0110322/
Cocktail	drama, romance	1988	Roger Donaldson	5.6	104	http://www.imdb.com/title/tt0094889/
Meet Joe Black	drama, fantasy, mystery, romance	1998	Martin Brest	7	178	http://www.imdb.com/title/tt0119643/
Notting Hill	comedy, drama, romance	1999	Roger Michell	6.9	124	http://www.imdb.com/title/tt0125439/
The Dreamers	drama, romance	2003	Bernardo Bertolucci	7.1	115	http://www.imdb.com/title/tt0309987/
There's Something About Mary	comedy, romance	1998	Bobby Farrelly, Peter Farrelly	7.1	119	http://www.imdb.com/title/tt0129387/
The Fountain	drama, romance, sci_fi	2006	Darren Aronofsky	7.3	96	http://www.imdb.com/title/tt0414993/
Pocahontas	animation, adventure, drama, family, history, musical, romance	1995	Mike Gabriel, Eric Goldberg	6.3	81	http://www.imdb.com/title/tt0114148/
Animal House	comedy, romance	1978	John Landis	7.5	109	http://www.imdb.com/title/tt0077975/
Not Suitable for Children	comedy, romance	2012	Peter Templeman	5.5	97	http://www.imdb.com/title/tt1935065/
Footloose	drama, music, romance	1984	Herbert Ross	6.2	107	http://www.imdb.com/title/tt0087277/
Gnomeo & Juliet	animation, comedy, family, romance	2011	Kelly Asbury	5.9	84	http://www.imdb.com/title/tt0377981/
Bedtime Stories	comedy, family, fantasy, romance	2008	Adam Shankman	6	99	http://www.imdb.com/title/tt0960731/
Walk the Line	biography, drama, music, romance	2005	James Mangold	7.8	136	http://www.imdb.com/title/tt0358273/
Sex and the City 2	comedy, drama, romance	2010	Michael Patrick King	3.9	146	http://www.imdb.com/title/tt1261945/
The Art of Getting By	drama, romance	2011	Gavin Wiesen	6.4	83	http://www.imdb.com/title/tt1645080/
Beastly	drama, fantasy, romance	2011	Daniel Barnz	5.3	86	http://www.imdb.com/title/tt1152398/
She's All That	comedy, romance	1999	Robert Iscove	5.6	95	http://www.imdb.com/title/tt0160862/
The Time Traveler's Wife	drama, fantasy, romance, sci_fi	2009	Robert Schwentke	7	107	http://www.imdb.com/title/tt0452694/
Tarzan	animation, adventure, drama, family, romance	1999	Chris Buck, Kevin Lima	7	88	http://www.imdb.com/title/tt0120855/
Closer	drama, romance	2004	Mike Nichols	7.3	104	http://www.imdb.com/title/tt0376541/
The House Bunny	comedy, romance	2008	Fred Wolf	5.4	97	http://www.imdb.com/title/tt0852713/
Sex Drive	adventure, comedy, romance	2008	Sean Anders	6.6	109	http://www.imdb.com/title/tt1135985/
The Wedding Singer	comedy, romance, music	1998	Frank Coraci	6.8	95	http://www.imdb.com/title/tt0120888/
Unfaithful	drama, romance, thriller	2002	Adrian Lyne	6.6	124	http://www.imdb.com/title/tt0250797/
Australia	adventure, drama, history, romance, war	2008	Baz Luhrmann	6.6	165	http://www.imdb.com/title/tt0455824/
Howl's Moving Castle	animation, action, adventure, family, fantasy, romance	2004	Hayao Miyazaki	8.1	119	http://www.imdb.com/title/tt0347149/
Shallow Hal	comedy, drama, fantasy, romance	2001	Bobby Farrelly, Peter Farrelly	5.9	114	http://www.imdb.com/title/tt0256380/
When Harry Met Sally...	comedy, drama, romance	1989	Rob Reiner	7.6	96	http://www.imdb.com/title/tt0098635/
The Other Boleyn Girl	biography, drama, history, romance	2008	Justin Chadwick	6.7	115	http://www.imdb.com/title/tt0467200/
Mamma Mia!	comedy, musical, romance	2008	Phyllida Lloyd	6.3	108	http://www.imdb.com/title/tt0795421/
Top Gun	action, drama, romance	1986	Tony Scott	6.7	110	http://www.imdb.com/title/tt0092099/
Beautiful Creatures	drama, fantasy, romance	2013	Richard LaGravenese	6.1	124	http://www.imdb.com/title/tt1559547/
